R0_m,zone_1_pit_inflow_m3/d,zone_2_pit_inflow_m3/d,drawdown_m,pit_level_mRL,total_pit_inflow_m3/d
0.0,0.0,0.0,-20.0,60.0,0.0
132.19,14.9,0.07,-19.0,59.0,14.97
139.77,21.37,0.14,-18.0,58.0,21.52
145.39,26.41,0.21,-17.0,57.0,26.62
149.98,30.67,0.29,-16.0,56.0,30.95
153.91,34.42,0.36,-15.0,55.0,34.77
157.35,37.79,0.43,-14.0,54.0,38.22
160.43,40.86,0.5,-13.0,53.0,41.36
163.22,43.69,0.57,-12.0,52.0,44.26
165.76,46.32,0.64,-11.0,51.0,46.96
168.09,48.77,0.71,-10.0,50.0,49.48
170.25,51.05,0.79,-9.0,49.0,51.84
172.24,53.2,0.86,-8.0,48.0,54.06
174.09,55.22,0.93,-7.0,47.0,56.15
175.82,57.12,1.0,-6.0,46.0,58.11
177.43,58.9,1.07,-5.0,45.0,59.97
178.94,60.59,1.14,-4.0,44.0,61.73
180.34,62.18,1.21,-3.0,43.0,63.39
181.66,63.67,1.28,-2.0,42.0,64.96
182.89,65.08,1.36,-1.0,41.0,66.44
184.04,66.41,1.43,0.0,40.0,67.83
185.11,67.65,1.5,1.0,39.0,69.15
186.11,68.82,1.57,2.0,38.0,70.39
187.04,69.91,1.64,3.0,37.0,71.55
187.91,70.93,1.71,4.0,36.0,72.64
188.72,71.88,1.78,5.0,35.0,73.67
189.46,72.77,1.86,6.0,34.0,74.62
190.14,73.58,1.93,7.0,33.0,75.51
190.77,74.33,2.0,8.0,32.0,76.33
191.34,75.02,2.07,9.0,31.0,77.09
191.86,75.64,2.14,10.0,30.0,77.78
192.32,76.2,2.21,11.0,29.0,78.41
192.74,76.7,2.28,12.0,28.0,78.98
193.1,77.14,2.36,13.0,27.0,79.5
193.41,77.52,2.43,14.0,26.0,79.95
193.67,77.84,2.5,15.0,25.0,80.34
193.89,78.1,2.57,16.0,24.0,80.67
194.06,78.3,2.64,17.0,23.0,80.94
194.17,78.45,2.71,18.0,22.0,81.16
194.25,78.54,2.78,19.0,21.0,81.32
194.27,78.56,2.85,20.0,20.0,81.42
